         ps       /top/SCLK                    
          delta        /top/LAT                
                           /top/SDO            
                        /top/led/i_state       
          0  +0           x   x   x    x 
       3910  +2           0   0   0    2 
       3930  +2           1   0   0    2 
       3950  +2           0   0   0    2 
       3970  +2           1   0   0    2 
       3990  +2           0   0   0    2 
       4010  +2           1   0   0    2 
       4030  +2           0   0   0    2 
       4050  +2           1   0   0    2 
       4070  +2           0   0   0    2 
       4090  +2           1   0   0    2 
       4110  +2           0   0   0    2 
       4130  +2           1   0   0    2 
       4150  +2           0   0   0    2 
       4170  +2           1   0   0    2 
       4190  +2           0   0   0    2 
       4210  +2           1   0   0    2 
       4230  +2           0   0   0    2 
       4250  +2           1   0   0    2 
       4270  +2           0   0   0    2 
       4290  +2           1   0   0    2 
       4310  +2           0   0   0    2 
       4330  +2           1   0   0    2 
       4350  +2           0   0   0    2 
       4370  +2           1   0   0    2 
       4390  +2           0   0   0    2 
       4410  +2           1   0   0    2 
       4430  +2           0   0   0    2 
       4450  +2           1   0   0    2 
       4470  +2           0   0   0    2 
       4490  +2           1   0   0    2 
       4510  +2           0   0   0    2 
       4530  +2           1   0   0    2 
       4550  +2           0   0   0    2 
       4570  +2           1   0   0    2 
       4590  +2           0   0   0    2 
       4610  +2           1   0   0    2 
       4630  +2           0   0   0    2 
       4650  +2           1   0   0    2 
       4670  +2           0   0   0    2 
       4690  +2           1   0   0    2 
       4710  +2           0   0   0    2 
       4730  +2           1   0   0    2 
       4750  +2           0   0   0    2 
       4770  +2           1   0   0    2 
       4790  +2           0   0   0    2 
       4810  +2           1   0   0    2 
       4830  +2           0   0   0    2 
       4850  +2           1   0   0    2 
       4870  +2           0   0   0    2 
       4890  +2           1   0   0    2 
       4910  +2           0   0   0    2 
       4930  +2           1   0   0    2 
       4950  +2           0   0   0    2 
       4970  +2           1   0   0    2 
       4990  +2           0   0   0    2 
       5010  +2           1   0   0    2 
       5030  +2           0   0   0    2 
       5050  +2           1   0   0    2 
       5070  +2           0   0   0    2 
       5090  +2           1   0   0    2 
       5110  +2           0   0   0    2 
       5130  +2           1   0   0    2 
       5150  +2           0   0   0    2 
       5170  +2           1   0   0    2 
       5190  +2           0   0   0    2 
       5210  +2           1   0   0    2 
       5230  +2           0   0   0    2 
       5250  +2           1   0   0    2 
       5270  +2           0   0   0    2 
       5290  +2           1   0   0    2 
       5310  +2           0   0   0    2 
       5330  +2           1   0   0    2 
       5350  +2           0   0   0    2 
       5370  +2           1   0   0    2 
       5390  +2           0   0   0    2 
       5410  +2           1   0   0    2 
       5430  +2           0   0   0    2 
       5450  +2           1   0   0    2 
       5470  +2           0   0   0    2 
       5490  +2           1   0   0    2 
       5510  +2           0   0   0    2 
       5530  +2           1   0   0    2 
       5550  +2           0   0   0    2 
       5570  +2           1   0   0    2 
       5590  +2           0   0   0    2 
       5610  +2           1   0   0    2 
       5630  +2           0   0   0    2 
       5650  +2           1   0   0    2 
       5670  +2           0   0   0    2 
       5690  +2           1   0   0    2 
       5710  +2           0   0   0    2 
       5730  +2           1   0   0    2 
       5750  +2           0   0   0    2 
